"evaluation_id","visit_id","score","problem_found"
1,1,9,"ทำงานดี มีทักษะพื้นฐานแน่น"
2,2,8,"ปรับตัวเข้ากับพี่เลี้ยงได้ดี"
3,3,10,"ผลงานเยี่ยม ช่วยพัฒนาระบบได้จริง"
4,4,7,"ขาดทักษะการนำเสนองาน"
5,5,9,"ขยัน อดทน เรียนรู้ไว"
6,6,8,"งานเอกสารเรียบร้อยดี"
7,7,8,"เดินทางมาทำงานสายบ้างบางวัน"
8,8,10,"เป็นที่ชื่นชอบของเพื่อนร่วมงาน"
9,9,9,"โค้ดเป็นระเบียบ อ่านง่าย"
10,10,7,"ต้องเพิ่มความรอบคอบในการเทสต์ระบบ"
11,11,8,"ปฏิบัติตามกฎโรงงานอย่างเคร่งครัด"
12,12,9,"เข้าใจเครื่องจักรได้เร็ว"
13,13,10,"มีความคิดสร้างสรรค์ในการแก้ปัญหา"
14,14,8,"บางครั้งยังไม่กล้าซักถามเมื่อสงสัย"
15,15,9,"สู้งานหนักได้ดีเยี่ยม"
16,16,8,"มีมนุษยสัมพันธ์ดี"
17,17,9,"รักษาสภาพแวดล้อมการทำงานได้ดี"
18,18,7,"ยังใช้โปรแกรมคำนวณโครงสร้างได้ช้า"
19,19,10,"สามารถคุมงานพื้นฐานได้เอง"
20,20,8,"มีความรับผิดชอบสูง"
21,21,9,"วิเคราะห์ข้อมูลได้แม่นยำ"
22,22,8,"ทำงานตามเป้าหมายได้ครบถ้วน"
23,23,7,"ทักษะภาษาอังกฤษยังต้องปรับปรุง"
24,24,10,"มีความเป็นผู้นำในกลุ่ม"
25,25,9,"จัดการเอกสารบัญชีได้ดีมาก"
26,26,8,"ติดต่อประสานงานได้คล่องแคล่ว"
27,27,9,"ปรับแผนการตลาดได้น่าสนใจ"
28,28,8,"ช่วยงานอีเวนต์ของบริษัทได้ดี"
29,29,10,"แก้ไขปัญหาเฉพาะหน้าได้เก่ง"
30,30,9,"เสนอไอเดียใหม่ๆ ให้ทีมเสมอ"
